"V1","V2","V3","V4","V5","V6"
0.956,0.962,0.942,0.184876145325344,0.195651929304669,0.188092315346595
0.964,0.977,0.95,0.183841715778482,0.194583092184423,0.18699574000429
0.952,0.952,0.938,0.182932707866466,0.193643172108526,0.186031057894792
0.947,0.947,0.933,0.181276187244313,0.191930426975703,0.184273247615582
0.963,0.963,0.95,0.180799775607796,0.191438001968472,0.183767953729272
0.972,0.972,0.957,0.179148747362408,0.189730492459901,0.18201527463051
0.948,0.948,0.935,0.17765429004592,0.188183959527782,0.180427311217839
0.936,0.964,0.952,0.175565510959564,0.186022639658801,0.178208224037839
0.934,0.957,0.925,0.174536538883988,0.184956766529167,0.177113220541395
0.954,0.974,0.952,0.172292219665856,0.182634160860594,0.174728350090663
0.935,0.949,0.928,0.170654909958838,0.180937167002534,0.172984445326029
0.961,0.967,0.956,0.168864397441731,0.179082575097583,0.171079242649794
0.949,0.962,0.946,0.166174310165505,0.176293186813762,0.168212059054351
0.961,0.971,0.947,0.164383613944402,0.174436736185145,0.166304024577226
0.95,0.95,0.949,0.162209328428743,0.172179367863881,0.163982123187067
0.953,0.953,0.921,0.159569861768442,0.16943832065791,0.161162325901812
0.945,0.972,0.937,0.157004123328806,0.166774487721739,0.1584223236834
0.943,0.97,0.932,0.154527811772099,0.164198640302322,0.155770098049668
0.944,0.955,0.932,0.152039604304303,0.161610268931598,0.153104874343636
0.946,0.958,0.927,0.147462657342515,0.156842405150448,0.148191692829951
0.951,0.968,0.95,0.145118676629769,0.154399011591623,0.145672909822502
0.963,0.963,0.938,0.14247058685518,0.151637455019696,0.142825426277265
0.928,0.96,0.924,0.138433181995268,0.147417307121332,0.138468441381377
0.936,0.958,0.939,0.135126045034917,0.143957560945232,0.134894810948347
0.94,0.952,0.931,0.129969890467738,0.138548322380005,0.12929842545514
0.955,0.976,0.951,0.126730952211258,0.135149645993702,0.12578198948532
0.972,0.972,0.923,0.122367677726926,0.130560628751296,0.121027171936609
0.948,0.963,0.941,0.117792015010435,0.125734169877325,0.116018249467529
0.956,0.974,0.954,0.113499792142373,0.121180630167449,0.111272319011844
0.963,0.975,0.894,0.106847886359354,0.114111483164606,0.103900487462301
0.976,0.976,0.916,0.101518688162007,0.108403363452314,0.0978560608074378
0.954,0.974,0.953,0.0949623064147645,0.101362819946128,0.0904434025353002
